uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
0214a6a37b45f461ce7418f47c355fb3," 10 % PULSO SOCIAL3 El ambiente festivo ya se siente en todas partes. El pan de muerto, el papel picado, las calaveritas de azúcar y las flores de cempasúchil inundan nuestro alrededor, para celebrar el tradicional Día de Muertos. En el cine, abundan las historias de terror y aunque pareciera que sólo Estados Unidos ha aprovechado estas fechas para crear películas emblemáticas, en nuestro país no nos hemos quedado atrás.   Pero más que cintas de terror, tenemos algunas que han tomado como base esta celebración para desarrollar sus historias. Incluso algunos cineastas extranjeros han quedado maravillados con esta tradición que hace sentir a los vivos en una conexión directa con sus muertos, en donde resaltan los ritos, las danzas y las ofrendas. Ahora que tenemos tan cerca esta festividad, en De10.mx hemos recopilado algunas películas mexicanas que han tomado como inspiración esta tradición tan mexicana. 1. Macario (1960) Es una de las pocas cintas mexicanas en las que el Día de Muertos está incluido debidamente en la trama y donde muestra su profunda conexión con la identidad nacional. En la cinta de Roberto Gavaldón, Macario (Ignacio López Tarso) entra en contacto con la muerte y con el diablo, en la víspera de la celebración de noviembre.  2. La momia azteca (1957) Es una cinta poco recordada del director Rafael Portillo. Aborda, de una forma muy poco apegada a la tradición, el tema de las festividades prehispánicas por el Día de Muertos, logrando una mezcla alucinante. Aquí, el Dr. Almada descubre que su novia es la reencarnación de una doncella azteca que fue sacrificada por amor y cuyo cuerpo se encuentra oculto en la pirámide de Yucatán. Pero al profanar su esqueleto la momia despierta y comienza la historia de terror.  3. Mictlán (1969) En esta cinta de Raúl Kamffer, muchos críticos de cine ven una clara referencia a la tradicional celebración del Día de Muertos. Cuenta la historia de un joven aristócrata, cuya familia no respeta las culturas originarias, por lo que él decide adentrarse a ese mundo. En Mictlán atraviesa la muerte y el renacimiento tras haber consumido peyote.  ",10 peliculas mexicanas sobre el dia del muertos,http://de10.com.mx/top-10/2018/10/31/10-peliculas-mexicanas-sobre-el-dia-del-muertos,eluniversal,de10.com.mx,4,172
174c2bc2da36f3130b9f752f58e51b21," 0 % PULSO SOCIAL0 Octubre y noviembre son dos meses en los que se respira miedo, magia y misterio, ya sea que celebres Halloween o Día de Muertos, durante esta temporada se escuchan tradicionales y fantásticas leyendas, las cuales forman parte de la cultura popular mexicana, y varias han tenido lugar en hoteles. Si quieres tener una experiencia paranormal en esta temporada, Hoteles.com™ te trae una selección de propiedades en diferentes estados de la República Mexicana en donde puedes confirmar si es verdad que se aparecen espíritus fantasmales y ocurren sucesos escalofriantes dentro de sus paredes. ¿Te animas a hospedarte en uno de estos hoteles embrujados? 1. Hotel San Diego en Guanajuato Este hotel se encuentra ubicado frente al Jardín Unión y el Teatro Juárez en el centro de la capital guanajuatense. Esta propiedad es una clásica edificación representativa del estilo histórico del estado, según comentarios de los huéspedes, en la madrugada se han observado los espíritus de unos monjes que salen del Teatro con dirección hacia la propiedad y desaparecen al llegar a ella. Asimismo, algunas personas relatan que es normal oírse el ruido de objetos y muebles que cambian de posición de un momento a otro.  (Foto: cortesía de Hoteles.com) 2. Hotel Mesón de Jobito en Zacatecas Esta tradicional casona construida a inicios de XVIII, alberga el famoso, lujoso e histórico hotel Mesón de Jobito, el cual se encuentra ubicado en el corazón de Zacatecas. Según cuenta la leyenda, en la habitación 107 de este hotel suele aparecer Don Jobito, ex vigilante de la hacienda, quien niega irse puesto que desconoce su muerte. Quienes se alojan en este cuarto comentan que alrededor de las 4:00 de la madrugada, comienzan a percibirse sucesos fuera de lo normal, sienten la presencia de una persona detrás de ellos y que alguien los vigila mientras duermen.  (Foto: cortesía de Hoteles.com) 3. Hotel Castillo Santa Cecilia Este espectacular hotel ha sorprendido a propios y extraños con los fenómenos paranormales que pasan en él. Su encantadora arquitectura la ha convertido en set de filmaciones de famosas películas mexicanas. Muchos de los huéspedes que se han alojado en esta propiedad, juran no regresar por los grandes sustos que se han llevado. Una hacienda minera, un albergue, un hospital son algunos de los usos que se le dieron con anterioridad a esta propiedad. Los visitantes cuentan que, al dar el primer paso al hotel, les invade una sensación de pesadez. Al llegar la noche comienzan a producirse situaciones misteriosas, como ver seres traslúcidos caminando por los pasillos, puertas que abren y cierran solas, objetos que cambian de un lugar a otro sin explicación alguna, como también escucharse conversaciones y risas a su lado mientras están en la cama.  (Foto: cortesía de Hoteles.com) 4. Hotel Posada San Francisco en Tlaxcala Este hermoso hotel colonial es considerado patrimonio histórico, fue construido en el siglo XVI y se encuentra ubicado justo en frente a la plaza principal. Muchos de los huéspedes han mencionado que es una propiedad enigmática y guarda muchas historias. Los visitantes afirman que a la medianoche una pequeña recorre el hotel preguntando por su mamá, pero nadie puede ayudar a encontrarla. La niña no es el único espíritu que habita el recinto, también se escuchan las voces de una pareja de novios, que lamentablemente quedaron separados antes del día de su boda.  (Foto: cortesía de Hoteles.com) 5. Hotel Wyndham en Mérida Esta elegante casona fue construida en 1912, las personas que se han hospedado en este hotel comentan que es común ver a un hombre de edad avanzada que aparece en las noches. Se rumora que el espíritu de este señor fue vecino de esta propiedad y sus familiares decidieron enterrarlo en su jardín.  (Foto: cortesía de Hoteles.com) ",5 hoteles embrujados en mexico,http://de10.com.mx/vivir-bien/2018/10/30/5-hoteles-embrujados-en-mexico,eluniversal,de10.com.mx,3,315
9c77ac757b57c6e197909607d0ac3ed4,"¿Es verdad que si una chica tiene un orgasmo después no le duele la penetración? ¿No quedas más sensible en ese momento? ¿Y relajadas? Carolina V. Depende de cada persona, no reacciona igual un cuerpo que otro, lo que es cierto es que el orgasmo deja más relajada a la persona, lo que ayuda a que no haya tanta tensión en los genitales y sea más fácil la penetración, sin embargo, también depende de la lubricación de cada quien, hay mujeres que después del orgasmo lubrican poco, lo que complica la penetración y hasta la vuelve dolorosa. El asunto es conocer tu cuerpo, de acuerdo a ello podrás tener mejores experiencias sexuales. Hoy es miércoles, el sábado perdí la virginidad con mi novio, usamos condón y no introdujo todo el pene, ya que a mí me dolía, así que dejamos de hacerlo, por lo tanto jamás eyaculó. Se supone que me debió de bajar el martes, yo soy muy exacta, revisé el condón para ver si estaba roto y no lo estaba ¿Hay probabilidad de quedar embarazada? ¿ O sólo es un retraso por toda la lluvia de sentimientos que implica perder la virginidad? Siento así como malestares premenstruales, tipo cólicos, pero no me baja. Tengo 20 años y estoy preocupada. Yolanda H. Lo más probable es que tengas retraso por las emociones de la primera vez, ya que no sólo entra en juego lo que sientes sino también las hormonas, y el periodo menstrual es muy sensible a ello. Si usaste condón y además, él no eyaculó no hay riesgo de embarazo, quédate tranquila y espera tu periodo, si tarda más de una semana ve al ginecólogo para descartar una enfermedad. La verdad quiero saber si duele o no la primera vez, muchas amigas me han comentado que duele. En especial me refiero a la penetración en el sexo ¿se siente placer? ¿Si me duele sería mucho? O si doliera ¿el placer gana? Julieta G. El dolor no tiene, hasta ahora, una forma de medirse pues depende de la capacidad de las personas para soportarlo y eso es muy subjetivo. Duele si la persona está tensa y muy centrada en percibir el dolor, duele menos si estás excitada y entregada a esa sensación de bienestar y gusto llamada placer. No podemos garantizarte si te dolerá o no porque depende de tu cuerpo y de como vivas la primera experiencia.  ",le di mi virginidad y no lo metio todo,http://www.elgrafico.mx/consultorio-sexual/le-di-mi-virginidad-y-no-lo-metio-todo,eluniversal,www.elgrafico.mx,3,189
8c5b9bcb1afdfcdbb7324898f055eeea," CDMX.- Ayer por la noche, cuando casi habían pasado 36 horas después del anuncio sobre la cancelación de la obra del Nuevo Aeropuerto Internacional de México en Texcoco, el presidente Enrique Peña Nieto se reunió en la más absoluta discreción con los banqueros de México. Nos comentan que se trató de una cena en el exclusivo hotel Four Seasons, que inició al filo de las 21:00 y concluyó después de las 23:00, y que al primer piso del hotel no podía subir nadie que no fuera banquero, funcionario o integrante del Estado Mayor Presidencial. ¿Cena de despedida o un encuentro derivado de la primera gran decisión del próximo gobierno? El único comentario que nos hacen sobre la reunión es que fue ""una cena larga y una plática franca"".   ",Peña Nieto y su reunión con banqueros,https://www.eluniversal.com.mx/nacion/politica/pena-nieto-y-su-reunion-con-banqueros,eluniversal,www.eluniversal.com.mx,4,61
d65650cd874e01579db179dd8882d068," Los Xolos perdieron el caso ante Eduardo Coudet y deberán pagarle 485 mil dólares por una deuda con el estratega argentino. El ""Chacho"" reclamaba tres de los seis meses que le debían tras su rescisión. De acuerdo con el periodista César Luis Merlo, la Comisión del Estatuto de FIFA, el cuadro de Tijuana tendrá que pagar una deuda de 285 mil dólares y 200 mil de una multa más intereses. No obstante, el cuadro fronterizo podrá apelar antes dicho fallo de la FIFA ante el Tribunal de Arbitraje Deportivo (TAS). Asimismo, podrían llegar a un acuerdo antes de la última instancia. El argentino llegó al equipo fronterizo en 2017 y después de un torneo con efectividad de 40%, Coudet fue cesado. Meses después llegó al Racing Club de Argentina, situación por la que Tijuana únicamente le pagó sólo tres de los seis meses que se habían acordado por interrumpir el contrato del ex futbolista. ",Xolos pierde caso ante Eduardo Coudet y deberá pagarle,http://www.eluniversal.com.mx/universal-deportes/futbol/xolos-pierde-caso-ante-eduardo-coudet-y-debera-pagarle,eluniversal,www.eluniversal.com.mx,7,83
a789b89385d8679225f80dde11778572,"Fueron ofertadas más de 2 mil vacantes durante la feria del empleo que organizó el Servicio Nacional de Empleo (SNE) en coordinación con el municipio de Corregidora, con la finalidad de acercar a los ciudadanos las oportunidades laborales de 50 empresas participantes. Roberto Sosa Pichardo, presidente municipal de Corregidora, expresó que la responsabilidad del gobierno que encabeza seguirá siendo que las empresas encuentren seguridad y condiciones para establecerse y así seguir generando empleo y bienestar social. “Corregidora es un municipio que crece 8% anual, todos los días llega a vivir gente a nuestro municipio, para lo cual nos estamos preparando para poder dar servicios y seguir trayendo empresas, en eso estamos trabajando todos los días”, expresó el alcalde, quien confió en que las empresas encontrarán entre los ciudadanos de Corregidora, mano de obra calificada y los perfiles que buscan. La participación de empresas y buscadores de empleo en estas ferias representa como principal ventaja ahorros económicos y de tiempo, pues en una sola visita pueden conocer los distintos perfiles y oportunidades.    Artículo   Se compromete Sosa a mejorar los servicios    Metrópoli   En colonia Venceremos da apoyo a 30 familias         Acudieron a este evento, José Alberto Torres González, director del Servicio Nacional de Empleo Querétaro; José Luis Aguilera Rico, secretario del Trabajo en el Estado; Viviana Barbosa Bonola, delegada federal de la Secretaría del Trabajo y Previsión Social (STPS) en Querétaro; Ricardo Alegre Bojórquez, secretario de Desarrollo Sustentable del Municipio de Corregidora; y Erika Díaz Villalón, secretaria de Desarrollo Social municipal. Ferias en el estado. Adicional a las ferias, este 2018 son 17 reclutamientos masivos que se organizan junto con empresas, en donde se logró colocar a 7 mil 364 jóvenes, sobre todo en el ámbito automotriz y aeronáutico en la entidad. “Participar en estas ferias se ha convertido en una decisión estratégica para las empresas, aquí encuentran mano de obra calificada, contactan perfiles adecuados para la industria y descubren altas competencias forjadas en nuestras universidades y centros de investigación”, apuntó la Secretaría del Trabajo En su momento , el secretario del Trabajo y Previsión Social, Roberto Campa, resaltó los primeros lugares que ocupa el estado de Querétaro en este rubro, pues tiene indicadores positivos de generación de empleo, uno de los índices más bajos de informalidad (con 40%, contra 60% del promedio en el país) y cuenta con uno de los salarios promedio más altos. “El promedio de los trabajadores asegurados en el Seguro Social en Querétaro es de 12 mil 156 pesos, mientras que el nacional es de 10 mil 744”, citó la dependencia.      bft ",Ofertan 2 mil empleos en feria,http://www.eluniversalqueretaro.mx/portada/ofertan-2-mil-empleos-en-feria,eluniversal,www.eluniversalqueretaro.mx,4,228
575f18af8bf36595c45e8c73b8311444,"Empresas privadas de pipas desconocen si podrán dar servicio a toda persona que lo solicite, durante el corte total del suministro de agua que afectará al Valle de México a partir del 31 de octubre hasta el 8 de noviembre, cuando podría quedar reestablecido el servicio. En una búsqueda, se pudo constatar que la mayor parte de las empresas que brindan este servicio desconocen si contarán con el abasto suficiente para cubrir la demanda. Una de ellas que dice poseer “varios años en el mercado” y brindar su servicio a hospitales, hoteles, restaurantes, fábricas “y en general a todo aquel que lo requiera”, señala que será necesario llamar durante los dos primeros días del corte para saber si podrán responder a la demanda. “Le pediría que me regalara una llamadita el 31 o primero (de noviembre) en la mañana para ver más o menos cómo está la agenda y ya le daría una respuesta”, indicó Javier, uno de los trabajadores que responden los teléfonos de la empresa. Las respuestas fueron similares en docenas de micro empresas que se anuncian por internet. En la mayoría de los sitios que no muestran sus precios de manera abierta, sino hasta que se hace una cotización de forma directa, mostraron manejar rangos similares. En promedio, los costos de las pipas oscilan entre mil 100 hasta mil 600 pesos por una de cinco mil litros; de mil 600 a 2 mil pesos por 10 mil litros; de 2 mil 400 a 2 mil 800 pesos por 20 mil litros; y de 5 mil 940 a 6 mil 200 por 44 mil litros. El corte en el suministro afecta 13 alcaldías en la Ciudad de México y 12 municipios en el Estado de México, esto debido al mantenimiento del Sistema Cutzamala por la Comisión Nacional del Agua (Conagua). La suspensión será del 31 de octubre al 3 de noviembre, sin embargo, el restablecimiento total se dará entre el 6 y 8 de noviembre, debido a que será paulatino y comenzará en las zonas más cercanas al cauce de distribución del sistema. En el Estado de México los municipios afectados serán Toluca, Nicolás Romero, Atizapán de Zaragoza, Huixquilucan, Cuautitlán Izcalli, Cuautitlán, Ecatepec, Naucalpan, Tlalnepantla, Tultitlán, Coacalco, Nezahualcóyotl y Tecámac. En la capital del país habrá corte total en las alcaldías Miguel Hidalgo y Cuauhtémoc; de manera parcial en Álvaro Obregón, Azcapotzalco, Cuajimalpa, Benito Juárez, Coyoacán, Iztacalco, Iztapalapa, La Magdalena Contreras, Tlalpan, Tláhuac, y Venustiano Carranza. Con información de Notimex  VER: Los memes por corte de agua 2018 VER: Lista de colonias que se van a quedar sin agua en la CDMX ",Costo de pipas por corte de agua 2018,http://www.unionedomex.mx/articulo/2018/10/31/infraestructura/costo-de-pipas-por-corte-de-agua-2018,eluniversal,www.unionedomex.mx,4,219
ab588d45be871c93241902a4f0eea9cf,"La actriz Eiza González arrasó en la tradicional fiesta de disfraces de Kate Hudson, en Los Ángeles, California, con un sensual atuendo de ‘Gatúbela’. La mexicana de 28 años de edad eligió un atuendo negro de látex que se ajustó a su espectacular figura curvilínea.  Además, complementó el disfraz con unos botines negros de tacón y la característica máscara de la villana de las historietas de Batman.   Foto: Grosby Group A la fiesta de Kate Hudson también asistieron importantes personalidades como Joe Jonas, Ashley Green, Rumer Willis y Olivia Munn.  Te puede interesar       Katy Perry seduce con ajustado vestido de látex   La estrella del pop deslumbró con un espectacular look en un restaurante de Los Ángeles      Eiza González acaba de regresar de Sudáfrica, donde pasó una larga temporada tras su gran éxito con el largometraje Baby Driver. Próximamente, la mexicana estrenará la película Welcome To Marwen, protagonizada por Steve Carrell y Leslie Mann, y participa en la película de Robert Rodríguez Alita: Battle Angel, que se estrenará en febrero del próximo año.  Otros proyectos que tiene en puerta son Paradise Hills, Bloodshot, Highway, Kung Fury y Love Spreads.  Lee también       Ashley Graham muestra curvas en leggings por Manhattan   Sin perder el glamour, la modelo lució su figura curvilínea en un atuendo deportivo      ",eiza gonzalez cautiva con el disfraz mas sexy de california,http://www.viveusa.mx/showbiz/eiza-gonzalez-cautiva-con-el-disfraz-mas-sexy-de-california,eluniversal,www.viveusa.mx,7,130
9642780fd33bbc6c3df71c5ec8eed451,"En su cuenta de Facebook el Departamento de Policía de Ohio, en Estados Unidos, lanzó una advertencia a los padres para que tengan cuidado sobre los dulces que sus hijos reciben durante la pedida de dulces que se realiza con motivo de la celebración de Halloween.  Y es que en aquel estado un niño dio positivo a una prueba de metanfetamina luego de salir a pedir “calaverita” (mejor conocida como “dulce o truco” en Estados Unidos) con sus padres. Al volver a su casa, después de realizar este tradicional recorrido, Brayenl Carwell de 5 años, comenzó a sufrir convulsiones por lo que sus padres lo llevaron de manera urgente al hospital. Una vez en la clínica el menor fue examinado por varios médicos quienes no sabían que podía haber causado las convulsiones y el desconcierto que presentaba Braylen. Para tratar de dar un diagnóstico, los doctores decidieron realizarle varios estudios entre ellos una tomografía y un examen de orina.  Lo tomografía resultó normal pero los resultados de la prueba de orina fueron lo que sorprendió tanto a los padres como a los médicos del niño pues estas revelaron que Braylen se encontraba bajo los efectos de metanfetamina.  Si bien el niño aseguró no haber ingerido ninguno de los dulces que había recibido sí recordaba haberse puesto unos dientes falsos de vampiro que le habían regalado junto con los dulces.  Para proteger a los menores el Departamento de Policía de Galion recomendó que los padres revisaran los dulces de sus hijos, y cualquier otro objeto recibido, durante la celebración y que se pusieran en contacto con las autoridades si se detectaba algo inusual.  “Por favor, revise los caramelos que sus hijos hayan recibido hoy durante el “Dulce o Truco”. También revise los artículos que no sean dulces como anillos, pulseras, collares o dientes falsos. Si sospecha que algo ha sido manipulado, por favor póngase en contacto con nuestro departamento por teléfono para que un oficial pueda pasar y recoger los artículos”, señalaron en su red social. En este caso los objetos fueron confiscados pero también se investiga a los padres quienes son ex adictos aunque aseguraron tener más de varios años libres de drogas.  ",nino ingiere metanfetamina que le dieron de calaverita,http://www.elbotiquin.mx/medicina-general/nino-ingiere-metanfetamina-que-le-dieron-de-calaverita,eluniversal,www.elbotiquin.mx,5,179
857166bf43c9f0d0620ab245a53d7f0c,  ,Así se vivió el campeonato de Cruz Azul en la Copa MX,http://www.eluniversal.com.mx/universal-deportes/futbol/asi-se-vivio-el-campeonato-de-cruz-azul-en-la-copa-mx,eluniversal,www.eluniversal.com.mx,7,0
